observation_id,metric_id,firm_network,entity_id,entity_name,entity_scope,jurisdiction,geography_original,geography_canonical,service_line_original,service_line_canonical,industry_original,industry_canonical,client_id,period_start,period_end,fiscal_year_label,calendar_year,as_of_date,value_original_text,value_numeric,value_low,value_high,unit_original,unit_canonical,scale_original,currency_original,value_in_original_currency,value_usd_nominal,value_usd_constant_price,fx_rate_used,fx_rate_type,inflation_index_used,observation_status,reported_calculated_proxy_or_estimate,definition_from_source,formula_or_transformation,numerator_observation_ids,denominator_observation_ids,sample_size,population_size,source_id,source_locator,source_excerpt,extraction_method,comparability_score,confidence_score,quality_flag,revision_flag,supersedes_observation_id,researcher_notes
obs_ey_revenue_total_fy20,global_revenue_total,EY,ent_ey_global,EY global organization,global_network,Global,,,,,,,,2019-07-01,2020-06-30,FY2020,2020,,"US$37,234 million",37234,,,US$ millions,USD_millions,millions,USD,37234,37234,,,,,reported,reported,Combined global member-firm revenue; inter-member-firm revenue eliminated and client-billed expenses included.,,,,,,src_ey_fy20,EY FY20 June YTD Global revenues and headcount tables; Basis of presentation,"Total revenue | US$37,234m",manual_web_or_pdf_transcription,5,5,verified_official,false,,
obs_ey_people_total_fy20,global_people_total,EY,ent_ey_global,EY global organization,global_network,Global,,,,,,,,2019-07-01,2020-06-30,FY2020,2020,2020-06-30,"298,965",298965,,,people,people,ones,,,,,,,,reported,reported,Total EY people at the end of June.,,,,,,src_ey_fy20,EY FY20 June YTD Global revenues and headcount tables; Basis of presentation,"Total people | 298,965",manual_web_or_pdf_transcription,5,5,verified_official,false,,
obs_ey_revenue_total_fy21,global_revenue_total,EY,ent_ey_global,EY global organization,global_network,Global,,,,,,,,2020-07-01,2021-06-30,FY2021,2021,,"US$39,959 million",39959,,,US$ millions,USD_millions,millions,USD,39959,39959,,,,,reported,reported,Combined global member-firm revenue; inter-member-firm revenue eliminated and client-billed expenses included.,,,,,,src_ey_fy21,EY FY21 June YTD Global revenues and headcount tables; Basis of presentation,"Total revenue | US$39,959m",manual_web_or_pdf_transcription,5,5,verified_official,false,,
obs_ey_people_total_fy21,global_people_total,EY,ent_ey_global,EY global organization,global_network,Global,,,,,,,,2020-07-01,2021-06-30,FY2021,2021,2021-06-30,"312,250",312250,,,people,people,ones,,,,,,,,reported,reported,Total EY people at the end of June.,,,,,,src_ey_fy21,EY FY21 June YTD Global revenues and headcount tables; Basis of presentation,"Total people | 312,250",manual_web_or_pdf_transcription,5,5,verified_official,false,,
obs_ey_revenue_total_fy22_original,global_revenue_total,EY,ent_ey_global,EY global organization,global_network,Global,,,,,,,,2021-07-01,2022-06-30,FY2022,2022,,"US$45,420 million",45420,,,US$ millions,USD_millions,millions,USD,45420,45420,,,,,reported,reported,Combined global member-firm revenue; inter-member-firm revenue eliminated and client-billed expenses included.,,,,,,src_ey_fy22,EY FY22 June YTD Global revenues and headcount tables; Basis of presentation,"Total revenue | US$45,420m",manual_web_or_pdf_transcription,5,5,verified_official,false,,Original FY22 perimeter as published in the FY22 release; superseded for FY23 comparison by a US$255m lower comparator.
obs_ey_people_total_fy22,global_people_total,EY,ent_ey_global,EY global organization,global_network,Global,,,,,,,,2021-07-01,2022-06-30,FY2022,2022,2022-06-30,"365,399",365399,,,people,people,ones,,,,,,,,reported,reported,Total EY people at the end of June.,,,,,,src_ey_fy22,EY FY22 June YTD Global revenues and headcount tables; Basis of presentation,"Total people | 365,399",manual_web_or_pdf_transcription,5,5,verified_official,false,,
obs_ey_revenue_total_fy23,global_revenue_total,EY,ent_ey_global,EY global organization,global_network,Global,,,,,,,,2022-07-01,2023-06-30,FY2023,2023,,"US$49,354 million",49354,,,US$ millions,USD_millions,millions,USD,49354,49354,,,,,reported,reported,Combined global member-firm revenue; inter-member-firm revenue eliminated and client-billed expenses included.,,,,,,src_ey_fy23,EY FY23 June YTD Global revenues and headcount tables; Basis of presentation,"Total revenue | US$49,354m",manual_web_or_pdf_transcription,5,5,verified_official,false,,
obs_ey_people_total_fy23,global_people_total,EY,ent_ey_global,EY global organization,global_network,Global,,,,,,,,2022-07-01,2023-06-30,FY2023,2023,2023-06-30,"395,442",395442,,,people,people,ones,,,,,,,,reported,reported,Total EY people at the end of June.,,,,,,src_ey_fy23,EY FY23 June YTD Global revenues and headcount tables; Basis of presentation,"Total people | 395,442",manual_web_or_pdf_transcription,5,5,verified_official,false,,
obs_ey_revenue_total_fy24,global_revenue_total,EY,ent_ey_global,EY global organization,global_network,Global,,,,,,,,2023-07-01,2024-06-30,FY2024,2024,,"US$51,221 million",51221,,,US$ millions,USD_millions,millions,USD,51221,51221,,,,,reported,reported,Combined global member-firm revenue; inter-member-firm revenue eliminated and client-billed expenses included.,,,,,,src_ey_fy24,EY FY24 June YTD Global revenues and headcount tables; Basis of presentation,"Total revenue | US$51,221m",manual_web_or_pdf_transcription,5,5,verified_official,false,,
obs_ey_people_total_fy24_original,global_people_total,EY,ent_ey_global,EY global organization,global_network,Global,,,,,,,,2023-07-01,2024-06-30,FY2024,2024,2024-06-30,"392,995",392995,,,people,people,ones,,,,,,,,reported,reported,Total EY people at the end of June.,,,,,,src_ey_fy24,EY FY24 June YTD Global revenues and headcount tables; Basis of presentation,"Total people | 392,995",manual_web_or_pdf_transcription,5,5,verified_official,false,,Original FY24 total as published in the FY24 release; the FY25 comparator is 30 higher due to practice recording and timing variances.
obs_ey_revenue_total_fy25,global_revenue_total,EY,ent_ey_global,EY global organization,global_network,Global,,,,,,,,2024-07-01,2025-06-30,FY2025,2025,,"US$53,219 million",53219,,,US$ millions,USD_millions,millions,USD,53219,53219,,,,,reported,reported,Combined global member-firm revenue; inter-member-firm revenue eliminated and client-billed expenses included.,,,,,,src_ey_fy25,EY FY25 June YTD Global revenues and headcount tables; Basis of presentation,"Total revenue | US$53,219m",manual_web_or_pdf_transcription,5,5,verified_official,false,,
obs_ey_people_total_fy25,global_people_total,EY,ent_ey_global,EY global organization,global_network,Global,,,,,,,,2024-07-01,2025-06-30,FY2025,2025,2025-06-30,"406,209",406209,,,people,people,ones,,,,,,,,reported,reported,Total EY people at the end of June.,,,,,,src_ey_fy25,EY FY25 June YTD Global revenues and headcount tables; Basis of presentation,"Total people | 406,209",manual_web_or_pdf_transcription,5,5,verified_official,false,,
obs_ey_revenue_total_fy22_restated_fy23,global_revenue_total,EY,ent_ey_global,EY global organization,global_network,Global,,,,,,,,2021-07-01,2022-06-30,FY2022,2022,,"US$45,165 million",45165,,,US$ millions,USD_millions,millions,USD,45165,45165,,,,,reported,reported,FY22 combined global revenue comparator restated to exclude units no longer part of EY operations in FY23.,,,,,,src_ey_fy23,EY FY23 June YTD Global revenues and headcount tables; Basis of presentation,"FY22 restated total | US$45,165m",manual_web_or_pdf_transcription,5,5,verified_official,true,obs_ey_revenue_total_fy22_original,"US$255m below the originally reported FY22 total of US$45,420m; use this version for like-for-like comparison with FY23."
obs_ey_people_total_fy24_updated_fy25,global_people_total,EY,ent_ey_global,EY global organization,global_network,Global,,,,,,,,2023-07-01,2024-06-30,FY2024,2024,2024-06-30,"393,025",393025,,,people,people,ones,,,,,,,,reported,reported,Updated FY24 total EY people comparator at the end of June.,,,,,,src_ey_fy25,EY FY25 June YTD Global revenues and headcount tables; Basis of presentation,"FY24 comparator total people | 393,025",manual_web_or_pdf_transcription,5,5,verified_official,true,obs_ey_people_total_fy24_original,The FY25 source describes the 30-person variance from the originally published FY24 service-line data as immaterial and attributable to practice recording and timing.
obs_ey_revenue_growth_local_fy11,global_revenue_growth_local_currency,EY,ent_ey_global,EY global organization,global_network,Global,,,,,,,,2010-07-01,2011-06-30,FY2011,2011,,5.3%,5.3,,,%,percent,percent,,,,,,,,reported,reported,Year-over-year combined global revenue growth measured in local currencies.,,,,,,src_ey_fy11_archive,"PDF pp.43-45 (printed pp.41-43), Facts and figures tables",Local-currency growth | 5.3%,manual_web_or_pdf_transcription,5,5,verified_official,false,,
obs_ey_revenue_growth_local_fy12,global_revenue_growth_local_currency,EY,ent_ey_global,EY global organization,global_network,Global,,,,,,,,2011-07-01,2012-06-30,FY2012,2012,,7.6%,7.6,,,%,percent,percent,,,,,,,,reported,reported,Year-over-year combined global revenue growth measured in local currencies.,,,,,,src_ey_fy12_archive,Facts and figures: Financial highlights and People tables,Local-currency growth | 7.6%,manual_web_or_pdf_transcription,5,5,verified_official,false,,
obs_ey_revenue_growth_local_fy13,global_revenue_growth_local_currency,EY,ent_ey_global,EY global organization,global_network,Global,,,,,,,,2012-07-01,2013-06-30,FY2013,2013,,7.7%,7.7,,,%,percent,percent,,,,,,,,reported,reported,Year-over-year combined global revenue growth measured in local currencies.,,,,,,src_ey_fy13,FY13 financial information and headcount tables; basis note,Local-currency growth | 7.7%,manual_web_or_pdf_transcription,5,5,verified_official,false,,
obs_ey_revenue_growth_local_fy14,global_revenue_growth_local_currency,EY,ent_ey_global,EY global organization,global_network,Global,,,,,,,,2013-07-01,2014-06-30,FY2014,2014,,6.8%,6.8,,,%,percent,percent,,,,,,,,reported,reported,Year-over-year combined global revenue growth measured in local currencies.,,,,,,src_ey_fy14,FY14 financial information and headcount tables; basis note,Local-currency growth | 6.8%,manual_web_or_pdf_transcription,5,5,verified_official,false,,
obs_ey_revenue_growth_local_fy15,global_revenue_growth_local_currency,EY,ent_ey_global,EY global organization,global_network,Global,,,,,,,,2014-07-01,2015-06-30,FY2015,2015,,11.6%,11.6,,,%,percent,percent,,,,,,,,reported,reported,Year-over-year combined global revenue growth measured in local currencies.,,,,,,src_ey_fy15,FY15 financial information and headcount tables; basis note,Local-currency growth | 11.6%,manual_web_or_pdf_transcription,5,5,verified_official,false,,
obs_ey_revenue_growth_local_fy16,global_revenue_growth_local_currency,EY,ent_ey_global,EY global organization,global_network,Global,,,,,,,,2015-07-01,2016-06-30,FY2016,2016,,9.0%,9,,,%,percent,percent,,,,,,,,reported,reported,Year-over-year combined global revenue growth measured in local currencies.,,,,,,src_ey_fy16,EY FY16 global revenues and headcount tables; basis note,Local-currency growth | 9.0%,manual_web_or_pdf_transcription,5,5,verified_official,false,,
obs_ey_revenue_growth_local_fy17,global_revenue_growth_local_currency,EY,ent_ey_global,EY global organization,global_network,Global,,,,,,,,2016-07-01,2017-06-30,FY2017,2017,,7.8%,7.8,,,%,percent,percent,,,,,,,,reported,reported,Year-over-year combined global revenue growth measured in local currencies.,,,,,,src_ey_fy17,"EY revenues by service line, geographic area and headcount tables; basis note",Local-currency growth | 7.8%,manual_web_or_pdf_transcription,5,5,verified_official,false,,
obs_ey_revenue_growth_local_fy18,global_revenue_growth_local_currency,EY,ent_ey_global,EY global organization,global_network,Global,,,,,,,,2017-07-01,2018-06-30,FY2018,2018,,7.4%,7.4,,,%,percent,percent,,,,,,,,reported,reported,Year-over-year combined global revenue growth measured in local currencies.,,,,,,src_ey_fy18,"EY revenues by service line, geographic area and headcount tables; basis note",Local-currency growth | 7.4%,manual_web_or_pdf_transcription,5,5,verified_official,false,,
obs_ey_revenue_growth_local_fy19,global_revenue_growth_local_currency,EY,ent_ey_global,EY global organization,global_network,Global,,,,,,,,2018-07-01,2019-06-30,FY2019,2019,,8.0%,8,,,%,percent,percent,,,,,,,,reported,reported,Year-over-year combined global revenue growth measured in local currencies.,,,,,,src_ey_fy19,"EY revenues by service line, geographic area and headcount tables; basis note",Local-currency growth | 8.0%,manual_web_or_pdf_transcription,5,5,verified_official,false,,
obs_ey_revenue_growth_local_fy20,global_revenue_growth_local_currency,EY,ent_ey_global,EY global organization,global_network,Global,,,,,,,,2019-07-01,2020-06-30,FY2020,2020,,4.1%,4.1,,,%,percent,percent,,,,,,,,reported,reported,Year-over-year combined global revenue growth measured in local currencies.,,,,,,src_ey_fy20,EY FY20 June YTD Global revenues and headcount tables; Basis of presentation,Local-currency growth | 4.1%,manual_web_or_pdf_transcription,5,5,verified_official,false,,
obs_ey_revenue_growth_local_fy21,global_revenue_growth_local_currency,EY,ent_ey_global,EY global organization,global_network,Global,,,,,,,,2020-07-01,2021-06-30,FY2021,2021,,4.0%,4,,,%,percent,percent,,,,,,,,reported,reported,Year-over-year combined global revenue growth measured in local currencies.,,,,,,src_ey_fy21,EY FY21 June YTD Global revenues and headcount tables; Basis of presentation,Local-currency growth | 4.0%,manual_web_or_pdf_transcription,5,5,verified_official,false,,
obs_ey_revenue_growth_local_fy22,global_revenue_growth_local_currency,EY,ent_ey_global,EY global organization,global_network,Global,,,,,,,,2021-07-01,2022-06-30,FY2022,2022,,16.4%,16.4,,,%,percent,percent,,,,,,,,reported,reported,Year-over-year combined global revenue growth measured in local currencies.,,,,,,src_ey_fy22,EY FY22 June YTD Global revenues and headcount tables; Basis of presentation,Local-currency growth | 16.4%,manual_web_or_pdf_transcription,5,5,verified_official,false,,
obs_ey_revenue_growth_local_fy23,global_revenue_growth_local_currency,EY,ent_ey_global,EY global organization,global_network,Global,,,,,,,,2022-07-01,2023-06-30,FY2023,2023,,14.2%,14.2,,,%,percent,percent,,,,,,,,reported,reported,Year-over-year combined global revenue growth measured in local currencies.,,,,,,src_ey_fy23,EY FY23 June YTD Global revenues and headcount tables; Basis of presentation,Local-currency growth | 14.2%,manual_web_or_pdf_transcription,5,5,verified_official,false,,Growth uses EY’s restated FY22 revenue comparator.
obs_ey_revenue_growth_local_fy24,global_revenue_growth_local_currency,EY,ent_ey_global,EY global organization,global_network,Global,,,,,,,,2023-07-01,2024-06-30,FY2024,2024,,3.9%,3.9,,,%,percent,percent,,,,,,,,reported,reported,Year-over-year combined global revenue growth measured in local currencies.,,,,,,src_ey_fy24,EY FY24 June YTD Global revenues and headcount tables; Basis of presentation,Local-currency growth | 3.9%,manual_web_or_pdf_transcription,5,5,verified_official,false,,
obs_ey_revenue_growth_local_fy25,global_revenue_growth_local_currency,EY,ent_ey_global,EY global organization,global_network,Global,,,,,,,,2024-07-01,2025-06-30,FY2025,2025,,4.0%,4,,,%,percent,percent,,,,,,,,reported,reported,Year-over-year combined global revenue growth measured in local currencies.,,,,,,src_ey_fy25,EY FY25 June YTD Global revenues and headcount tables; Basis of presentation,Local-currency growth | 4.0%,manual_web_or_pdf_transcription,5,5,verified_official,false,,
obs_ey_revenue_growth_reported_fy11,global_revenue_growth_reported,EY,ent_ey_global,EY global organization,global_network,Global,,,,,,,,2010-07-01,2011-06-30,FY2011,2011,,7.6%,7.6,,,%,percent,percent,,,,,,,,reported,reported,Year-over-year combined global revenue growth measured in reported US dollars.,,,,,,src_ey_fy11_archive,"PDF pp.43-45 (printed pp.41-43), Facts and figures tables",Reported US-dollar growth | 7.6%,manual_web_or_pdf_transcription,5,5,verified_official,false,,
obs_ey_revenue_growth_reported_fy12,global_revenue_growth_reported,EY,ent_ey_global,EY global organization,global_network,Global,,,,,,,,2011-07-01,2012-06-30,FY2012,2012,,6.7%,6.7,,,%,percent,percent,,,,,,,,reported,reported,Year-over-year combined global revenue growth measured in reported US dollars.,,,,,,src_ey_fy12_archive,Facts and figures: Financial highlights and People tables,Reported US-dollar growth | 6.7%,manual_web_or_pdf_transcription,5,5,verified_official,false,,
obs_ey_revenue_growth_reported_fy13,global_revenue_growth_reported,EY,ent_ey_global,EY global organization,global_network,Global,,,,,,,,2012-07-01,2013-06-30,FY2013,2013,,5.8%,5.8,,,%,percent,percent,,,,,,,,reported,reported,Year-over-year combined global revenue growth measured in reported US dollars.,,,,,,src_ey_fy13,FY13 financial information and headcount tables; basis note,Reported US-dollar growth | 5.8%,manual_web_or_pdf_transcription,5,5,verified_official,false,,
obs_ey_revenue_growth_reported_fy14,global_revenue_growth_reported,EY,ent_ey_global,EY global organization,global_network,Global,,,,,,,,2013-07-01,2014-06-30,FY2014,2014,,6.0%,6,,,%,percent,percent,,,,,,,,reported,reported,Year-over-year combined global revenue growth measured in reported US dollars.,,,,,,src_ey_fy14,FY14 financial information and headcount tables; basis note,Reported US-dollar growth | 6.0%,manual_web_or_pdf_transcription,5,5,verified_official,false,,
obs_ey_revenue_growth_reported_fy15,global_revenue_growth_reported,EY,ent_ey_global,EY global organization,global_network,Global,,,,,,,,2014-07-01,2015-06-30,FY2015,2015,,4.7%,4.7,,,%,percent,percent,,,,,,,,reported,reported,Year-over-year combined global revenue growth measured in reported US dollars.,,,,,,src_ey_fy15,FY15 financial information and headcount tables; basis note,Reported US-dollar growth | 4.7%,manual_web_or_pdf_transcription,5,5,verified_official,false,,
obs_ey_revenue_growth_reported_fy18,global_revenue_growth_reported,EY,ent_ey_global,EY global organization,global_network,Global,,,,,,,,2017-07-01,2018-06-30,FY2018,2018,,11.0%,11,,,%,percent,percent,,,,,,,,reported,reported,Year-over-year combined global revenue growth measured in reported US dollars.,,,,,,src_ey_fy18,"EY revenues by service line, geographic area and headcount tables; basis note",Reported US-dollar growth | 11.0%,manual_web_or_pdf_transcription,5,5,verified_official,false,,
obs_ey_revenue_growth_reported_fy21,global_revenue_growth_reported,EY,ent_ey_global,EY global organization,global_network,Global,,,,,,,,2020-07-01,2021-06-30,FY2021,2021,,7.3%,7.3,,,%,percent,percent,,,,,,,,reported,reported,Year-over-year combined global revenue growth measured in reported US dollars.,,,,,,src_ey_fy21,EY FY21 June YTD Global revenues and headcount tables; Basis of presentation,Reported US-dollar growth | 7.3%,manual_web_or_pdf_transcription,5,5,verified_official,false,,
obs_ey_revenue_growth_reported_fy22,global_revenue_growth_reported,EY,ent_ey_global,EY global organization,global_network,Global,,,,,,,,2021-07-01,2022-06-30,FY2022,2022,,13.7%,13.7,,,%,percent,percent,,,,,,,,reported,reported,Year-over-year combined global revenue growth measured in reported US dollars.,,,,,,src_ey_fy22,EY FY22 June YTD Global revenues and headcount tables; Basis of presentation,Reported US-dollar growth | 13.7%,manual_web_or_pdf_transcription,5,5,verified_official,false,,
obs_ey_revenue_growth_reported_fy23,global_revenue_growth_reported,EY,ent_ey_global,EY global organization,global_network,Global,,,,,,,,2022-07-01,2023-06-30,FY2023,2023,,9.3%,9.3,,,%,percent,percent,,,,,,,,reported,reported,Year-over-year combined global revenue growth measured in reported US dollars.,,,,,,src_ey_fy23,EY FY23 June YTD Global revenues and headcount tables; Basis of presentation,Reported US-dollar growth | 9.3%,manual_web_or_pdf_transcription,5,5,verified_official,false,,Growth uses EY’s restated FY22 revenue comparator.
